,ID,smiles,moleculas
0,0,CC1=CC=C(C=C1)C(C2=NN=NN2C(C)(C)C)N(CC3=CC=CO3)CC4=CC=CS4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF781FA0>
1,1,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC4=C3N=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7983A0>
2,2,C1CCC(CC1)CNC2=C3CCCCC3=NC4=NN=NN24,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798340>
3,3,CC1=CC(=C(C=C1N)C(C)C)OC.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798280>
4,4,C1CN(CCN1C2=CC=CC=C2)C(C3=CN=CC=C3)C4=NN=NN4CCC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798040>
5,5,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC(=C2)C#N)N3CCC(CC3)CC4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7982E0>
6,6,CCOC(=O)CNC1=C2C(=NC(=N1)C(C)(C)C)N(N=N2)CC3=CC=CC=C3Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798400>
7,7,COC1=C(C=CC(=C1)S(=O)(=O)N2CCC(CC2)(C3=CC(=CC=C3)C(F)(F)F)O)N4C=NN=N4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798460>
8,8,CC1=CC=C(O1)CN(CC2=CN=CC=C2)C(=O)CN3C(=O)COC4=CC=CC=C43,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7984C0>
9,9,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)C3CCN(CC3)C4=NC=CN=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798520>
10,10,CN1C2=C(C=C1C(=O)OC(C3=CN=CC=C3)C(=O)NC4CCCC4)SC=C2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798580>
11,11,CC1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3Cl)NC4=CC5=C(C=C4)OCCO5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798640>
12,12,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC(=O)NCC4=CC=CS4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7986A0>
13,13,CCC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N3CCN(CC3)C4=NC5=CC=CC=C5S4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798700>
14,14,CC(CCN(C)C)OC(=O)C1=CC=C(O1)C(C)C2=CC=CC=C2.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798760>
15,15,CC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N3CCCC4(C3)CCCCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7987C0>
16,16,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798820>
17,17,CC1=CC=CC=C1C2=NN=C(C=C2)NC3=CC=C(C=C3)N4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798880>
18,18,C1=CC=C(C=C1)CN2C(=O)C=CS2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7988E0>
19,19,CC1=CN=C(C=N1)C(=O)NC2=CC=CC3=C2N=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798940>
20,20,CN(C)CC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF7989A0>
21,21,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=C(C=CC(=C3)C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798A00>
22,22,COC1=CC=CC=C1C(=O)NN2C(=NC3=CC=CC=C3C2=O)C4CCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798A60>
23,23,C1=COC(=C1)C2=NC(=C(C(=C2)C(F)(F)F)C#N)SCC3=CC=NC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798AC0>
24,24,CN(C)CCNC1=C2CCCCC2=C(C3=NC4=CC=CC=C4N13)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798B20>
25,25,CCC(C1=NN=NN1CCC2=CC=CC=C2)N(CC3=CC=CO3)CC4=CC5=C(C=CC(=C5NC4=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798B80>
26,26,C1=CC2=C(C=CC(=C2N=C1)O)CNC3=CC=C(C=C3)F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF798BE0>
