,ID,smiles,moleculas,MW,TPSA,nRotB,HBD,HBA,logP,clusters
0,2183,C1=CC=C(C=C1)C2=CC=CC=C2OCC3=CC=C(C=C3)C(=O)N/N=C/C4=CC=C(C=C4)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579F40>,451.15320615200005,93.83,8.0,1.0,5.0,5.604700000000005,1
1,4185,COC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C(=C4)CN5CCCC5)O)CN6CCCC6.OP(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579E20>,615.2013481500001,151.51,7.0,5.0,8.0,5.1572000000000084,5
2,1707,CCCC1=NC2=CC=CC=C2C(=C1CC)C(=O)OCC(=O)N3CCC4=CC=CC=C43,<rdkit.Chem.rdchem.Mol object at 0x000002274F579CA0>,402.194342692,59.5,6.0,0.0,4.0,4.4958000000000045,0
3,1312,CC(C)(C)C1=CC=C(C=C1)OP(=O)(C)NC2=CC=C(C=C2)SC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579C40>,403.098271202,38.33,5.0,1.0,3.0,6.909800000000004,4
4,1946,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3)Br,<rdkit.Chem.rdchem.Mol object at 0x000002274F579BE0>,410.06298994800005,51.22,6.0,1.0,3.0,5.085900000000003,0
5,493,C[C@@H]1[C@H]([C@]2([C@H]3C4[C@]1([C@@H]5C=C(C(=O)[C@]5([C@@H]([C@@]6([C@H]4O6)CO)O)O)C)OC(O3)(O2)C7=CC=CC=C7)C(=C)C)OC(=O)/C=C/C=C/C8=CC=CC=C8,<rdkit.Chem.rdchem.Mol object at 0x000002274F579B80>,654.2464974159999,144.28000000000003,7.0,3.0,10.0,3.1242000000000028,5
6,2718,CC1CC(CN(C1)CCCNC(=O)C2CCN(CC2)C3=NC4=C(C=C(C=C4S3)C)C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F579B20>,442.27663283600003,48.470000000000006,6.0,1.0,5.0,4.613740000000004,0
7,2519,CC1=C(C2=NC3=CC=CC=C3N2C4=C1CCN4CCCN(C)C)C#N,<rdkit.Chem.rdchem.Mol object at 0x000002274F579AC0>,333.19534573600004,47.57,4.0,0.0,5.0,2.9818000000000016,2
8,57,CC1=C(OC2=CC=CC=C12)C(=O)OC(C)CCN(C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x000002274F579A60>,311.128821244,42.68,5.0,0.0,4.0,3.6600200000000025,2
9,2420,CC1=NC=C(S1)CN2CCCC(C2)CCC(=O)NCC3=CC=CC=C3F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579A00>,375.17806167199996,45.230000000000004,7.0,1.0,4.0,3.8992200000000024,0
10,2381,COC1=CC=CC(=C1)CC2(CCCN(C2)C/C=C/C3=CC=CC=C3OC)CO,<rdkit.Chem.rdchem.Mol object at 0x000002274F5799A0>,381.23039385199996,41.93000000000001,8.0,1.0,4.0,4.034200000000004,0
11,3507,C1CN(CCN1C2=C3C=CC(=CC3=NC=C2)Cl)C(=O)NC4=CC=C(C=C4)OC(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000002274F579940>,450.107038156,57.7,3.0,1.0,4.0,5.140900000000003,0
12,3344,CC1=NC2=CC=CC=C2N=C1N/N=C/C3=C(C=C(C=C3)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F5798E0>,294.11167568799993,90.63000000000001,3.0,3.0,6.0,2.795420000000002,3
13,577,C/C(=N\NC(=S)N)/CC1CC2=C(CC1(C)C)C(CCC2)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F579880>,321.223868992,50.41,3.0,2.0,2.0,4.528500000000004,0
14,1849,C1CCC(CC1)[C@@H]2C[C@@H](OC(=C2)C(=O)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5)OCC6=CC=C(C=C6)CO,<rdkit.Chem.rdchem.Mol object at 0x000002274F579820>,548.2886369999999,80.70000000000002,8.0,1.0,7.0,4.595400000000005,1
15,849,CCN\1C2=CC=CC=C2C(/C1=C/C=C/C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x000002274F5797C0>,484.2128852159999,98.49,4.0,0.0,5.0,1.5844999999999998,6
16,701,CCC(C)NCCOCCOC1=CC=C(C=C1)F.C(=O)(C(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579760>,345.1587657079999,105.09,9.0,3.0,5.0,1.7648,6
17,1310,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N/N=C\C3=C(C=CC4=CC=CC=C43)O,<rdkit.Chem.rdchem.Mol object at 0x000002274F579700>,437.140927216,99.07000000000001,5.0,2.0,5.0,3.4839000000000024,6
18,1472,CC1=C(C=C(C=C1)N(CCC#N)C(=O)CCl)C,<rdkit.Chem.rdchem.Mol object at 0x000002274F5796A0>,250.08729078,44.1,4.0,0.0,2.0,2.788920000000001,2
19,1296,C1C2CC3CC1CC(C2)(C3)CC(=O)N/N=C/C4=CC=C(O4)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579640>,331.153206152,97.74000000000001,5.0,1.0,5.0,3.2444000000000015,6
20,3247,CCN(CC)S(=O)(=O)C1=CC(=C(C=C1)C)NC(=O)CN2C=NC3=C(C2=O)C=CC(=C3)[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F5795E0>,473.136904456,144.51000000000002,8.0,1.0,8.0,2.2823200000000003,6
21,3134,CC1=CC(=NC=N1)SC2=NC(=NC=C2[N+](=O)[O-])N,<rdkit.Chem.rdchem.Mol object at 0x000002274F579580>,264.042944496,120.72,3.0,1.0,8.0,1.21662,3
22,3319,CN1C2=CC=CC=C2[N+](=C1N=NC3=CC=C(C=C3)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000002274F579520>,438.1361761839999,99.96000000000001,4.0,0.0,7.0,4.017500000000003,6
23,2729,CC1=CC=C(C=C1)CN2CCSC3=C2C=C(C=C3)C(=O)NC4CCN(CC4)CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x000002274F5794C0>,471.23443367600004,35.580000000000005,6.0,1.0,4.0,5.501720000000005,4
