ID,smiles
0,CC1=CC=C(C=C1)C(C2=NN=NN2C(C)(C)C)N(CC3=CC=CO3)CC4=CC=CS4
1,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC4=C3N=CC=C4
2,C1CCC(CC1)CNC2=C3CCCCC3=NC4=NN=NN24
3,CC1=CC(=C(C=C1N)C(C)C)OC.Cl
4,C1CN(CCN1C2=CC=CC=C2)C(C3=CN=CC=C3)C4=NN=NN4CCC5=CC=CC=C5
5,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC(=C2)C#N)N3CCC(CC3)CC4=CC=CC=C4
6,CCOC(=O)CNC1=C2C(=NC(=N1)C(C)(C)C)N(N=N2)CC3=CC=CC=C3Cl
7,COC1=C(C=CC(=C1)S(=O)(=O)N2CCC(CC2)(C3=CC(=CC=C3)C(F)(F)F)O)N4C=NN=N4
8,CC1=CC=C(O1)CN(CC2=CN=CC=C2)C(=O)CN3C(=O)COC4=CC=CC=C43
9,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)C3CCN(CC3)C4=NC=CN=C4
10,CN1C2=C(C=C1C(=O)OC(C3=CN=CC=C3)C(=O)NC4CCCC4)SC=C2
11,CC1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3Cl)NC4=CC5=C(C=C4)OCCO5
12,C1CN(CCC1C2=NC3=CC=CC=C3S2)CC(=O)NCC4=CC=CS4
13,CCC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N3CCN(CC3)C4=NC5=CC=CC=C5S4
14,CC(CCN(C)C)OC(=O)C1=CC=C(O1)C(C)C2=CC=CC=C2.Cl
15,CC(C)(C)N1C(=NN=N1)C(C2=CC=CS2)N3CCCC4(C3)CCCCC4
16,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N=CC4=C(C(=CC=C4)OC)O)O
17,CC1=CC=CC=C1C2=NN=C(C=C2)NC3=CC=C(C=C3)N4CCOCC4
18,C1=CC=C(C=C1)CN2C(=O)C=CS2
19,CC1=CN=C(C=N1)C(=O)NC2=CC=CC3=C2N=CC=C3
20,CN(C)CC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2.Cl
21,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=C(C=CC(=C3)C)C.Cl
22,COC1=CC=CC=C1C(=O)NN2C(=NC3=CC=CC=C3C2=O)C4CCC4
23,C1=COC(=C1)C2=NC(=C(C(=C2)C(F)(F)F)C#N)SCC3=CC=NC=C3
24,CN(C)CCNC1=C2CCCCC2=C(C3=NC4=CC=CC=C4N13)C#N
25,CCC(C1=NN=NN1CCC2=CC=CC=C2)N(CC3=CC=CO3)CC4=CC5=C(C=CC(=C5NC4=O)C)C
26,C1=CC2=C(C=CC(=C2N=C1)O)CNC3=CC=C(C=C3)F
27,COC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OC)NC(=O)NC3=CC(=CC=C3)Cl
28,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NN=NN3C4CCCCC4
29,CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl
30,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=C(C=C3)F)CC4=NN=NN4C5CCCC5
31,CS(=O)(=O)N1CCC2=C1C=CC(=C2)C3=CSC(=N3)NC(=O)CC4=CC=CS4
32,CC1=C(N=C(S1)NC(=O)C2=CC(=NN2C)C(C)(C)C)C3=CC=C(C=C3)OC
33,CC1=CC(=C2C(=C1)C=C(C(=O)N2)CN(CC3=CC4=C(C=C3)OCO4)CC5=NN=NN5C6CCCC6)C
34,CCC(C)(C)N1C(=NN=N1)C(C2=CC=CC(=C2)C#N)N3CCN(CC3)C4=C(C=CC(=C4)C)C
